county,gdp_2015,gdp_2016,gdp_2017,gdp_2018,rank_2018,delta_2016,delta_2017,delta_2018,delta_rank
Anderson,"1,733,371","1,761,038","1,757,163","1,821,668",90,1.6,-0.2,3.7,103
Andrews,"4,618,403","4,588,979","5,030,447","5,355,273",46,-0.6,9.6,6.5,51
Angelina,"3,203,803","3,140,971","3,228,257","3,395,257",62,-2,2.8,5.2,71
Aransas,"662,999","634,775","606,525","607,950",172,-4.3,-4.5,0.2,183
Archer,"368,951","343,639","351,437","370,542",196,-6.9,2.3,5.4,65
Armstrong,"55,922","48,598","51,314","53,869",252,-13.1,5.6,5,73
Atascosa,"4,626,219","4,248,916","4,599,172","4,722,996",51,-8.2,8.2,2.7,136
Austin,"1,263,940","1,214,253","1,260,054","1,271,624",122,-3.9,3.8,0.9,170
Bailey,"474,359","458,610","516,860","475,400",182,-3.3,12.7,-8,236
Bandera,"316,070","301,003","307,421","317,383",204,-4.8,2.1,3.2,114
Bastrop,"1,742,307","1,741,072","1,782,172","1,881,339",85,-0.1,2.4,5.6,64
Baylor,"154,603","145,000","153,031","162,992",232,-6.2,5.5,6.5,48
Bee,"915,620","859,747","840,520","839,201",154,-6.1,-2.2,-0.2,193
Bell,"14,928,272","14,401,726","14,599,325","14,886,755",17,-3.5,1.4,2,152
Bexar,"90,563,914","92,804,535","93,472,254","97,527,759",5,2.5,0.7,4.3,90
Blanco,"287,492","288,614","296,607","299,571",209,0.4,2.8,1,166
Borden,"414,473","445,798","476,078","615,821",171,7.6,6.8,29.4,7
Bosque,"606,770","618,864","600,680","603,479",173,2,-2.9,0.5,178
Bowie,"3,595,173","3,639,773","3,663,972","3,701,177",59,1.2,0.7,1,165
Brazoria,"14,734,188","14,789,436","14,863,653","15,588,622",16,0.4,0.5,4.9,76
Brazos,"9,015,522","9,036,851","9,193,538","9,525,806",29,0.2,1.7,3.6,106
Brewster,"354,311","350,778","352,712","374,005",194,-1,0.6,6,54
Briscoe,"62,829","93,654","90,353","95,465",246,49.1,-3.5,5.7,62
Brooks,"421,454","356,810","373,637","360,775",198,-15.3,4.7,-3.4,218
Brown,"1,237,059","1,249,201","1,274,941","1,284,852",121,1,2.1,0.8,174
Burleson,"1,063,124","1,024,436","1,251,914","1,498,704",108,-3.6,22.2,19.7,12
Burnet,"1,267,335","1,275,662","1,301,004","1,334,951",119,0.7,2,2.6,138
Caldwell,"836,699","811,776","843,716","893,669",147,-3,3.9,5.9,60
Calhoun,"2,072,589","2,003,469","1,770,487","1,861,259",86,-3.3,-11.6,5.1,72
Callahan,"248,712","243,909","254,920","278,826",212,-1.9,4.5,9.4,27
Cameron,"9,544,503","9,659,865","9,737,643","10,011,608",26,1.2,0.8,2.8,129
Camp,"428,638","397,897","403,938","431,406",188,-7.2,1.5,6.8,43
Carson,"769,303","837,858","840,262","900,276",146,8.9,0.3,7.1,38
Cass,"752,698","740,258","739,240","766,769",160,-1.7,-0.1,3.7,101
